"Category","Non-Hispanic/Latino by Race"
"White",24318
"Black/African American",50116
"American Indian/Alaskan Native",214
"Asian",2862
"Native Hawaiian/Pacific Islander",46
"Some Other Race",227
"2+ Races",2410
