"Category","Non-Hispanic/Latino by Race"
"White",63293
"Black/African American",4365
"American Indian/Alaskan Native",100
"Asian",6201
"Native Hawaiian/Pacific Islander",43
"Some Other Race",251
"2+ Races",2442
