"Category","Non-Hispanic/Latino by Race"
"White",45347
"Black/African American",19101
"American Indian/Alaskan Native",144
"Asian",5350
"Native Hawaiian/Pacific Islander",53
"Some Other Race",238
"2+ Races",1997
