"Category","Non-Hispanic/Latino by Race"
"White",1824
"Black/African American",73723
"American Indian/Alaskan Native",181
"Asian",269
"Native Hawaiian/Pacific Islander",21
"Some Other Race",114
"2+ Races",1557
