"Category","Non-Hispanic/Latino by Race"
"White",58001
"Black/African American",12125
"American Indian/Alaskan Native",126
"Asian",8104
"Native Hawaiian/Pacific Islander",51
"Some Other Race",229
"2+ Races",2490
