"Category","Hispanic/Latino Population by Race"
"White",5843
"Black/African American",1218
"American Indian/Alaskan Native",277
"Asian",42
"Native Hawaiian/Pacific Islander",40
"Some Other Race",12489
"2+ Races",1970
