"Category","Non-Hispanic/Latino by Race"
"White",2667
"Black/African American",73328
"American Indian/Alaskan Native",161
"Asian",328
"Native Hawaiian/Pacific Islander",34
"Some Other Race",99
"2+ Races",1510
