"Category","Non-Hispanic/Latino by Race"
"White",20896
"Black/African American",10161
"American Indian/Alaskan Native",106
"Asian",1589
"Native Hawaiian/Pacific Islander",17
"Some Other Race",83
"2+ Races",1023
