"Category","Non-Hispanic/Latino by Race"
"White",20669
"Black/African American",39551
"American Indian/Alaskan Native",151
"Asian",2053
"Native Hawaiian/Pacific Islander",66
"Some Other Race",265
"2+ Races",2027
